1 server,2 servers,4 servers,8 servers
1.0101010101010102,1.0001000100010002,1.0000000261412627,1.0000000000000049
1.0204081632653061,1.0004001600640255,1.0000004101030529,1.0000000000011815
1.0309278350515463,1.0009008107296566,1.0000020360804005,1.0000000000285303
1.0416666666666665,1.001602564102564,1.000006312174923,1.0000000002685794
1.0526315789473684,1.0025062656641603,1.0000151196722056,1.0000000015090529
1.0638297872340425,1.0036130068245683,1.0000307671095043,1.0000000061178995
1.0752688172043012,1.0049241282283188,1.0000559488480725,1.000000019802631
1.0869565217391304,1.0064412238325282,1.0000937078817846,1.000000054363218
1.098901098901099,1.0081661457808246,1.000147402630183,1.0000001316056832
1.1111111111111112,1.0101010101010102,1.0002206774798632,1.0000002885285342
1.1235955056179776,1.0122482032594393,1.000317436853406,1.000000583837092
1.1363636363636365,1.0146103896103895,1.0004418226000442,1.0000011057864195
1.1494252873563218,1.0171905197843556,1.000598194516956,1.0000019813049756
1.1627906976744187,1.0199918400652794,1.000791113824673,1.000003386310287
1.1764705882352942,1.0230179028132993,1.0010253294345497,1.00000555709571
1.1904761904761905,1.026272577996716,1.0013057668606826,1.0000088026440435
1.2048192771084338,1.0297600659046442,1.0016375196430893,1.0000135177090996
1.2195121951219512,1.0334849111202975,1.0020258431634277,1.0000201964997393
1.2345679012345678,1.0374520178441748,1.0024761507490745,1.0000294468015534
1.25,1.0416666666666667,1.0029940119760479,1.0000420043783822
1.2658227848101267,1.046134532900931,1.003585153096108,1.0000587475082225
1.282051282051282,1.0508617065994117,1.0042554595284465,1.0000807115248231
1.2987012987012987,1.0558547143912997,1.0050109803717784,1.000109103256448
1.3157894736842104,1.061120543293718,1.0058579349084444,1.0001453152760522
1.3333333333333335,1.0666666666666667,1.0068027210884354,1.000190939901666
1.3513513513513513,1.0725010725010726,1.0078519259981886,1.0002477829114669
1.3698630136986303,1.07863229425089,1.0090123383366945,1.0003178769642442
1.388888888888889,1.0850694444444444,1.0102909629401036,1.0004034947422953
1.4084507042253522,1.0918222513374825,1.0116950374157827,1.0005071618598578
1.4285714285714286,1.098901098901099,1.0132320509679,1.0006316696057922
1.4492753623188406,1.1063170704723975,1.0149097655193609,1.0007800876141792
1.4705882352941175,1.1140819964349375,1.0167362392595767,1.000955776580832
1.492537313432836,1.122208506340478,1.0187198527744932,1.0011624011674372
1.5151515151515151,1.1307100859339665,1.020869337944922,1.001403943258345
1.5384615384615385,1.1396011396011396,1.0231938098320115,1.0016847157581044
1.5625,1.1488970588235294,1.02570280180519,1.0020093771410732
1.5873015873015872,1.1586142973004288,1.0284063042088085,1.0023829469881809
1.6129032258064515,1.168770453482936,1.0313148069097253,1.0028108227707098
1.639344262295082,1.1793843613633683,1.0344393461201469,1.0032987981673505
1.6666666666666667,1.1904761904761905,1.0377915559492177,1.0038530832294736
1.694915254237288,1.2020675561966583,1.0413837252044058,1.00448032674131
1.7241379310344827,1.2141816415735796,1.0452288600411426,1.0051876411574663
1.7543859649122806,1.22684333210649,1.0493407531482468,1.00598263054096
1.7857142857142856,1.2400793650793651,1.0537340602595135,1.0068734219719544
1.8181818181818181,1.2539184952978055,1.0584243849010233,1.0078687009520382
1.8518518518518516,1.2683916793505836,1.0634283724223108,1.0089777513928937
1.886792452830189,1.283532280836863,1.0687638145212148,1.010210500853492
1.9230769230769231,1.2993762993762994,1.0744497656614997,1.0115775717789355
1.9607843137254901,1.3159626266614028,1.0805066730046389,1.0130903395995028
2.0,1.3333333333333333,1.0869565217391304,1.0147609986738164
2.0408163265306123,1.3515339910798758,1.0938229980004854,1.0166026372094172
2.0833333333333335,1.3706140350877194,1.1011316719426092,1.0186293224725038
2.1276595744680855,1.3906271728549575,1.1089102039589855,1.0208561978123678
2.1739130434782608,1.4116318464144553,1.1171885775751578,1.0232995932828006
2.2222222222222223,1.4336917562724014,1.125999363161473,1.0259771519520007
2.272727272727273,1.456876456876457,1.1353780173706813,1.0289079743661702
2.3255813953488373,1.4812620352540364,1.1453632241185494,1.0321127840849684
2.380952380952381,1.506931886678722,1.155997284034838,1.0356141177581137
2.4390243902439024,1.5339776039269826,1.167326560664483,1.0394365438855644
2.5,1.5625,1.1794019933554818,1.043606915229265
2.564102564102564,1.592610288262462,1.192279688808845,1.0481546608614212
2.631578947368421,1.6244314489928524,1.2060216057875697,1.0531121250929445
2.7027027027027026,1.65809981760902,1.2206963506164656,1.0585149620913212
2.7777777777777777,1.693766937669377,1.2363801050231584,1.0644025969548532
2.857142857142857,1.731601731601732,1.2531577127966036,1.0708187664719446
2.941176470588235,1.771793054571226,1.2711239579693292,1.077812155908018
3.0303030303030303,1.814552712756306,1.2903850751585006,1.0854371521262478
3.125,1.860119047619048,1.3110605428596969,1.0937547384271007
3.225806451612903,1.9087612139721322,1.3332852235953738,1.1028335630452635
3.3333333333333335,1.9607843137254901,1.3572119318604479,1.1127512217625009
3.4482758620689653,2.016535591853196,1.383014533136245,1.1235958062592668
3.571428571428571,2.07641196013289,1.4108917067499989,1.1354677845808407
3.703703703703704,2.140869192892314,1.4410715446982487,1.1484822997644641
3.8461538461538463,2.2104332449160036,1.473817211511758,1.162771999153766
4.0,2.2857142857142856,1.509433962264151,1.1784905429393402
4.166666666666666,2.367424242424242,1.5482779148602286,1.1958169899815474
4.347826086956522,2.4563989191844757,1.5907671105260233,1.214961327865059
4.545454545454546,2.5536261491317673,1.6373955905757827,1.236171511211658
4.761904761904763,2.6602819898909287,1.6887514948926665,1.2597425109590719
5.0,2.7777777777777777,1.7455405897342555,1.28602807840126
5.2631578947368425,2.9078220412910727,1.8086172251519064,1.3154562241250476
5.555555555555556,3.052503052503052,1.8790256113298751,1.3485498564869594
5.88235294117647,3.2144005143040824,1.9580556628230508,1.3859547041110802
6.25,3.3967391304347823,2.047319784161039,1.4284777091337342
6.666666666666667,3.6036036036036037,2.1488603694686312,1.4771407775124337
7.142857142857142,3.840245775729646,2.2653033731235626,1.5332575649024824
7.6923076923076925,4.113533525298231,2.400082758946313,1.5985457018420295
8.333333333333332,4.432624113475177,2.5577771737458925,1.6752951311514366
9.09090909090909,4.81000481000481,2.7446302607350503,1.7666282652980387
10.0,5.2631578947368425,2.9693831607384062,1.8769162376828215
11.111111111111112,5.817335660267598,3.2446620139371087,2.0124726542160394
12.5,6.510416666666667,3.5894060876364255,2.182767657920585
14.285714285714288,7.401924500370097,4.033377156097644,2.4026826195797732
16.666666666666668,8.59106529209622,4.626178259863125,2.697019518140336
20.0,10.256410256410255,5.457094975888369,3.11042157652421
25.0,12.755102040816327,6.704698592421125,3.7321748498161686
33.33333333333333,16.920473773265652,8.785655633072691,4.770612988047152
50.0,25.252525252525253,12.949965952304204,6.8507362846822835
100.0,50.25125628140703,25.447629402328566,13.097545010811757
