1 server,4 servers
1.0101010101010102,1.0000000001036478
1.0204081632653061,1.0000000016501245
1.0309278350515463,1.000000008312352
1.0416666666666665,1.0000000261412627
1.0526315789473684,1.0000000635067448
1.0638297872340425,1.0000001310399256
1.0752688172043012,1.000000241576783
1.0869565217391304,1.0000004101030529
1.098901098901099,1.00000065370042
1.1111111111111112,1.0000009914939731
1.1235955056179776,1.0000014446008987
1.1363636363636365,1.0000020360804005
1.1494252873563218,1.0000027908848252
1.1627906976744187,1.0000037358119722
1.1764705882352942,1.0000048994585735
1.1904761904761905,1.000006312174923
1.2048192771084338,1.0000080060206402
1.2195121951219512,1.0000100147215492
1.2345679012345678,1.0000123736276552
1.25,1.0000151196722056
1.2658227848101267,1.000018291331814
1.282051282051282,1.000021928587635
1.2987012987012987,1.0000260728875725
1.3157894736842104,1.0000307671095043
1.3333333333333335,1.0000360555255094
1.3513513513513513,1.0000419837670833
1.3698630136986303,1.0000485987913235
1.388888888888889,1.0000559488480725
1.4084507042253522,1.0000640834480041
1.4285714285714286,1.0000730533316378
1.4492753623188406,1.0000829104392661
1.4705882352941175,1.0000937078817846
1.492537313432836,1.0001054999124066
1.5151515151515151,1.000118341899253
1.5384615384615385,1.0001322902988015
1.5625,1.000147402630183
1.5873015873015872,1.0001637374503154
1.6129032258064515,1.0001813543298548
1.639344262295082,1.0002003138299618
1.6666666666666667,1.0002206774798632
1.694915254237288,1.000242507755201
1.7241379310344827,1.0002658680571561
1.7543859649122806,1.0002908226923342
1.7857142857142856,1.000317436853406
1.8181818181818181,1.0003457766004895
1.8518518518518516,1.0003759088432587
1.886792452830189,1.000407901323778
1.9230769230769231,1.0004418226000442
1.9607843137254901,1.0004777420302278
2.0,1.000515729757607
2.0408163265306123,1.0005558566961812
2.0833333333333335,1.000598194516956
2.1276595744680855,1.00064281563489
2.1739130434782608,1.0006897931964975
2.2222222222222223,1.0007392010680929
2.272727272727273,1.000791113824673
2.3255813953488373,1.0008456067394278
2.380952380952381,1.0009027557738708
2.4390243902439024,1.0009626375685807
2.5,1.0010253294345497
2.564102564102564,1.0010909093451277
2.631578947368421,1.0011594559285564
2.7027027027027026,1.0012310484610887
2.7777777777777777,1.0013057668606826
2.857142857142857,1.0013836916812666
2.941176470588235,1.001464904107567
3.0303030303030303,1.001549485950496
3.125,1.0016375196430893
3.225806451612903,1.0017290882369918
3.3333333333333335,1.0018242753994828
3.4482758620689653,1.0019231654110392
3.571428571428571,1.0020258431634277
3.703703703703704,1.002132394158325
3.8461538461538463,1.002242904506459
4.0,1.0023574609272679
4.166666666666666,1.0024761507490745
4.347826086956522,1.0025990619097673
4.545454545454546,1.002726282957991
4.761904761904763,1.0028579030548397
5.0,1.0029940119760479
5.2631578947368425,1.0031347001146826
5.555555555555556,1.0032800584843264
5.88235294117647,1.003430178722756
6.25,1.003585153096108
6.666666666666667,1.003745074503536
7.142857142857142,1.003910036482352
7.6923076923076925,1.0040801332136562
8.333333333333332,1.0042554595284465
9.09090909090909,1.0044361109142164
10.0,1.004622183522032
11.111111111111112,1.0048137741740937
12.5,1.0050109803717784
14.285714285714288,1.0052139003041662
16.666666666666668,1.0054226328570475
20.0,1.005637277622416
25.0,1.0058579349084444
33.33333333333333,1.0060847057499474
50.0,1.0063176919193304
100.0,1.0065569959380283
,1.0068027210884354
,1.007054971426327
,1.0073138517937796
,1.007579467832589
,1.0078519259981886
,1.0081313335740778
,1.008417798686756
,1.0087114303211726
,1.0090123383366945
,1.009320633483597
,1.009636427420082
,1.0099598327298327
,1.0102909629401036
,1.0106299325403607
,1.0109768570014703
,1.0113318527954498
,1.0116950374157827
,1.0120665293983107
,1.012446448342704
,1.0128349149345275
,1.0132320509679
,1.0136379793687698
,1.014052824218802
,1.0144767107798998
,1.0149097655193609
,1.0153521161356882
,1.0158038915850593
,1.0162652221084725
,1.0167362392595767
,1.0172170759332033
,1.01770786639461
,1.0182087463094516
,1.0187198527744932
,1.0192413243490803
,1.0197733010873822
,1.020315924571423
,1.020869337944922
,1.0214336859479545
,1.0220091149524577
,1.0225957729985968
,1.0231938098320115
,1.0238033769419659
,1.0244246276004185
,1.0250577169020387
,1.02570280180519
,1.0263600411739027
,1.0270295958208644
,1.027711628551448
,1.0284063042088085
,1.029113789720072
,1.0298342541436463
,1.0305678687176847
,1.0313148069097253
,1.032075244467548
,1.0328493594712709
,1.0336373323867258
,1.0344393461201469
,1.035255586074203
,1.0360862402054192
,1.0369314990830165
,1.0377915559492177
,1.0386666067810535
,1.0395568503537174
,1.0404624883055074
,1.0413837252044058
,1.042320768616339
,1.0432738291751698
,1.0442431206544733
,1.0452288600411426
,1.046231267610887
,1.0472505670056727
,1.0482869853131673
,1.0493407531482468
,1.0504121047366275
,1.0515012780006903
,1.0526085146475601
,1.0537340602595135
,1.054878164386784
,1.0560410806428437
